ts	phase	decision	why	evidence	result
2026-09-04T04:52:51Z	audit	Compared the implementation against every issue #175 acceptance section	The previous completion claim relied on passing tests but did not map every product requirement	https://github.com/jayshah5696/sangam/issues/175	Found gaps in operation detail, attention context, per-token health, publication links, and query timing
2026-09-04T04:52:51Z	delivery	Use an isolated worktree and branch	The change spans backend, frontend, migrations, documentation, and browser tests	/Users/jshah/Documents/GitHub/sangam-issue-175 codex/issue-175	Kept main checkout unchanged
2026-09-04T04:52:51Z	verification	Run the full project gate and all browser projects	Issue #175 changes API contracts and responsive user-visible behavior	just test; just test-e2e; test-results/issue-175-evidence	219 backend tests and 143 frontend tests passed; 141 applicable browser tests passed before the final audit additions
2026-09-04T04:52:51Z	server	Replace the terminal-owned server with a detached persistent process	The terminal-backed process did not survive the previous handoff	User report on 2026-09-03	Pending after final verification
2026-09-04T08:21:03Z	performance	Measure investigation paths on a populated 10000-event ledger	Issue acceptance requires timings and query evidence at realistic event counts	tests/test_database.py; local 20-run warm benchmark	Median token 1.82ms, resource 1.75ms, denied 1.88ms, summary 97.84ms; maxima 2.25ms, 2.08ms, 2.35ms, 155.76ms
2026-09-04T08:26:09Z	verification	Complete canonical tests and final browser verification	The change spans API contracts, persistence, Settings, Activity, responsive layout, and accessibility	just format; just anti-slop; just test; just test-e2e; test-results/issue-175-evidence	219 backend and 143 frontend tests passed; 142 browser tests passed across desktop, 1099 breakpoint coverage, narrow desktop, and true touch mobile; screenshot flows reported no console or page errors
2026-09-04T08:26:09Z	server	Run the final branch in a persistent tmux session	The earlier shell-owned server was reaped after handoff	tmux Sangam-175; frontend http://localhost:5173/activity; readiness http://127.0.0.1:8000/api/v1/readiness	Frontend returned 200 and API reported ready with schema 021 from a separate command after launch
2026-09-04T14:56:16Z	correction	Use the Settings rail on Activity and replace raw actor and token ID inputs	The original design and issue require operational context plus controlled choices for values Sangam already knows	/Users/jshah/.agents/diagrams/agent-activity-directions.html; frontend/src/routes/__root.tsx; frontend/src/components/activity/ActivityFilters.tsx	Activity now selects Agents & access in the Settings rail and offers server-backed agent and token selectors with historical deep-link fallbacks
2026-09-04T14:56:16Z	verification	Re-run the complete browser matrix after the navigation and filter correction	The correction changes desktop rail behavior, the 1100px drawer boundary, touch controls, and URL-persisted filters	just test-e2e; test-results/issue-175-evidence/activity-settings-rail-desktop.png; test-results/issue-175-evidence/activity-settings-drawer-narrow.png; test-results/issue-175-evidence/activity-settings-drawer-touch-mobile.png	142 browser tests passed with 48 intentional project skips across desktop, narrow desktop, and true touch mobile; live agent-browser inspection found no console or page errors
2026-09-04T17:18:53Z	correction	Anchor relative date ranges until explicit refresh and replace the recurring refresh banner with one icon button	Recomputing the range timestamp during render changed the React Query key after every response and caused an immediate fetch loop	frontend/src/routes/activity.tsx; frontend/src/components/activity/ActivityHistory.tsx; frontend/src/components/activity/ActivityInsights.tsx	Activity now performs one initial request and one request per manual refresh without a persistent status banner
2026-09-04T17:18:53Z	local evidence	Seed the persistent development server through authenticated agent API calls	The empty local ledger did not let the reviewer judge the real operation and insight layouts	http://localhost:5173/activity; test-results/issue-175-evidence/activity-populated-refresh-desktop.png; test-results/issue-175-evidence/activity-populated-insights-desktop.png	Five events from Research assistant and Release reviewer show three accepted and two denied outcomes; browser inspection found zero accessibility violations and no console or page errors
